"","Year","Warhead","Number","Yield"
"137",1972,"AGM-28B (W28)",272,"70-1,450Kt"
"138",1972,"AGM-69A (W69)",175,"170-200Kt"
"139",1972,"AGM-86B (W80-1)",NA,"5-150Kt (Variable Yield)"
"140",1972,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"141",1973,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"142",1973,"AGM-28B (W28)",270,"70-1,450Kt"
"143",1973,"AGM-69A (W69)",500,"170-200Kt"
"144",1973,"AGM-86B (W80-1)",NA,"5-150Kt (Variable Yield)"
"145",1973,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"146",1974,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"147",1974,"AGM-28B (W28)",263,"70-1,450Kt"
"148",1974,"AGM-69A (W69)",900,"170-200Kt"
"149",1974,"AGM-86B (W80-1)",NA,"5-150Kt (Variable Yield)"
"150",1974,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"151",1975,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"152",1975,"AGM-28B (W28)",262,"70-1,450Kt"
"153",1975,"AGM-69A (W69)",1140,"170-200Kt"
"154",1975,"AGM-86B (W80-1)",NA,"5-150Kt (Variable Yield)"
"155",1975,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"156",1976,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"157",1976,"AGM-28B (W28)",246,"70-1,450Kt"
"158",1976,"AGM-69A (W69)",1140,"170-200Kt"
"159",1976,"AGM-86B (W80-1)",NA,"5-150Kt (Variable Yield)"
"160",1976,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"161",1977,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"162",1977,"AGM-28B (W28)",230,"70-1,450Kt"
"163",1977,"AGM-69A (W69)",1140,"170-200Kt"
"164",1977,"AGM-86B (W80-1)",NA,"5-150Kt (Variable Yield)"
